num,test_name,is_consistent,blame,count,dof,mean_X,Sigma_X,probable_error,est_chunks,smallest_increment,recommended_resolution,upper_factory_limit,lower_factory_limit,usefulness,max_measurement_increment,min_measurement_increment,upper_natural_process_limit,lower_natural_process_limit,upper_range_limit
58,WIFI_TX_EVM_N_MCS0_CH1_BW20,False,[X,mR],50,30.1,-31.793572,0.95364923,0.6432364,35146,0.0001,1,,,0,1.28647281,0.12864728,-28.9326243230569,-34.6545196769431,3.51467422112462
59,WIFI_TX_EVM_N_MCS0_CH100_BW20,False,[X,mR],50,30.1,-39.80608,1.23195289,0.83095222,15134,0.0003,1,,,0,1.66190445,0.16619044,-36.110221337386,-43.501938662614,4.54036236702127
60,WIFI_TX_EVM_N_MCS0_CH11_BW20,False,[X,mR],50,30.1,-35.686484,1.28919163,0.86955976,4319,0.0011,1,,,0,1.73911951,0.17391195,-31.8189090976986,-39.5540589023013,4.7513157674772
61,WIFI_TX_EVM_N_MCS0_CH165_BW20,False,[X,mR],50,30.1,-37.842814,1.12797619,0.76081994,41571,0.0001,1,,,0,1.52163988,0.15216399,-34.4588854285714,-41.2267425714286,4.15715625
62,WIFI_TX_EVM_N_MCS0_CH36_BW20,False,[X,mR],50,30.1,-38.574246,1.34062998,0.90425492,4940,0.001,1,,,0,1.80850984,0.18085098,-34.5523560738168,-42.5961359261833,4.94089177431611
63,WIFI_TX_EVM_N_MCS0_CH6_BW20,False,[X,mR],50,30.1,-34.08204,1.60532096,1.08278899,9860,0.0006,1,,,0,2.16557797,0.2165578,-29.2660771254885,-38.8980028745115,5.91641039133739
64,WIFI_TX_EVM_N_MCS2_CH11_BW20,False,[X,mR],50,30.1,-36.844532,2.05249674,1.38440905,3288,0.0023,1,,,0,2.76881811,0.27688181,-30.6870417698654,-43.0020222301346,7.56447674772037
65,WIFI_TX_EVM_N_MCS7_CH1_BW20,False,[X,mR],50,30.1,-33.788842,1.46414459,0.98756553,26980,0.0002,1,,,0,1.97513106,0.19751311,-29.3964082179766,-38.1812757820235,5.39610490121581
66,WIFI_TX_EVM_N_MCS7_CH100_BW20,False,[X,mR],50,30.1,-40.209342,1.15461898,0.7787905,21276,0.0002,1,,,0,1.557581,0.1557581,-36.745485074251,-43.673198925749,4.25534823328268
67,WIFI_TX_EVM_N_MCS7_CH165_BW20,False,[X,mR],50,30.1,-37.739862,1.15005247,0.77571039,42385,0.0001,1,,,0,1.55142078,0.15514208,-34.2897045966131,-41.1900194033869,4.23851837006079
68,WIFI_TX_EVM_N_MCS7_CH36_BW20,False,[X,mR],50,30.1,-38.86693,1.37559705,0.92784021,12674,0.0004,1,,,0,1.85568042,0.18556804,-34.7401388580113,-42.9937211419887,5.06976291793313
69,WIFI_TX_EVM_N_MCS7_CH6_BW20,False,[X,mR],50,30.1,-33.84511,1.14164315,0.7700383,21037,0.0002,1,,,0,1.5400766,0.15400766,-30.4201805601389,-37.2700394398611,4.2075258168693
70,WIFI_TX_EVM_N_MCS8_CH11_BW20,False,[X,mR],50,30.1,-36.219186,1.61576386,1.08983272,29774,0.0002,1,,,0,2.17966545,0.21796654,-31.3718944237951,-41.066477576205,5.95489770136778
71,WIFI_TX_POWER_A_54_CH100_BW20,False,[X,mR],50,30.1,-8.840902,18.35123209,12.37790604,676334,0.0001,10,23,,0,24.75581209,2.47558121,46.2127942657403,-63.8945982657403,67.633465862462
72,WIFI_TX_POWER_A_54_CH165_BW20,False,[X,mR],50,30.1,-9.452872,18.52164387,12.49284879,682615,0.0001,10,23,,0,24.98569758,2.49856976,46.1120596109422,-65.0178036109423,68.2615184840426
73,WIFI_TX_POWER_A_54_CH36_BW20,False,[X,mR],50,30.1,-7.159826,18.51589774,12.48897303,682403,0.0001,10,23,,0,24.97794605,2.49779461,48.3878672262267,-62.7075192262267,68.2403411284195
74,WIFI_TX_POWER_AC_MCS8_CH1_BW20,False,[X,mR],50,30.1,-7.994764,18.45462983,12.44764782,680145,0.0001,10,24,,0,24.89529564,2.48952956,47.369125491967,-63.358653491967,68.0145382408815
75,WIFI_TX_POWER_AC_MCS8_CH100_BW20,False,[X,mR],50,30.1,-8.87709,18.34912976,12.37648802,676257,0.0001,10,23,,0,24.75297604,2.4752976,46.1702992748589,-63.9244792748589,67.6257177241641
76,WIFI_TX_POWER_AC_MCS8_CH165_BW20,False,[X,mR],50,30.1,-9.430528,18.62274388,12.56104075,686341,0.0001,10,23,,0,25.1220815,2.51220815,46.4377036543639,-65.2987596543639,68.634122587386
77,WIFI_TX_POWER_AC_MCS8_CH36_BW20,False,[X,mR],50,30.1,-7.18808,18.37720546,12.39542508,677291,0.0001,10,23,,0,24.79085016,2.47908502,47.9435363699522,-62.3196963699522,67.7291907104863
